,Position,Length,Description,genus,Species,mean_abs_shap,%Control,%IBD,log(ods_ratio)
twist_51296,714,992.0, EBNA3C latent protein,Lymphocryptovirus,Lymphocryptovirus humangamma4,1.2644159,0.1896551724137931,0.4528301886792453,0.8703096545438727
agilent_104204,220,408.0, Immunoglobulin-binding protein Sbi,Staphylococcus,Staphylococcus aureus,0.95397544,0.41379310344827586,0.1509433962264151,-1.0084611916738122
agilent_149908,639,703.0, Inhibitor_I69 domain-containing protein,Prevotella,Prevotella sp. CAG:279,1.0377046,0.8793103448275862,0.6415094339622641,-0.315314011113867
smoking,0,0,0,0,0,0.9433556,0.3448275862068966,0.5660377358490566,0.4956162051024618
agilent_240812,88,1024.0, Hemolysin,Escherichia,Escherichia coli,0.67853355,0.15517241379310345,0.3018867924528302,0.6655152418978594
twist_14325,0,111.0, Tri a 37,Triticum,Triticum aestivum,0.7998376,0.10344827586206896,0.3018867924528302,1.0709803500060238
agilent_6936,423,487.0, Epstein-Barr nuclear antigen 2,Lymphocryptovirus,Lymphocryptovirus humangamma4,0.3806406,0.5,0.4528301886792453,-0.09909090264423089
twist_48320,68,853.0, pneumococcal histidine triad protein D,Streptococcus,Streptococcus pneumoniae,0.2619214,0.896551724137931,0.6415094339622641,-0.3347320969709685
agilent_6664,836,, Genome polyprotein,Enterovirus,Rhinovirus B,0.9626192,0.4827586206896552,0.6226415094339622,0.2544541482855737
twist_38675,272,1039.0, pneumococcal histidine triad protein E,Streptococcus,Streptococcus pneumoniae,0.5236203,0.4482758620689655,0.20754716981132076,-0.770050168228814
twist_55260,1573,1627.0, Adhesin P1 precursor,Mycoplasmoides,Mycoplasmoides pneumoniae,0.61335087,0.1896551724137931,0.32075471698113206,0.525469168252143
agilent_220657,225,352.0, Transcriptional regulatory protein AlgP,Pseudomonas,Pseudomonas aeruginosa,0.64278907,0.41379310344827586,0.20754716981132076,-0.6900074605552775
