,median_shap,std_error
twist_54214,0.59461486,0.0025650926
smoking,0.30302048,0.0018890878
twist_43798,0.29931527,0.0015382833
twist_51296,0.21581018,0.002542819
agilent_9025,0.20259278,0.0014140251
twist_54947,0.200426,0.0014196236
agilent_242591,0.18571886,0.001289382
agilent_8318,0.16745934,0.0017018343
agilent_241665,0.16696417,0.0022830628
twist_46426,0.16480929,0.0014211943
agilent_6936,0.16361362,0.0011660887
corona2_8999,0.16155398,0.003248787
agilent_240812,0.11536504,0.0018165475
age,0.075810805,0.0009356482
agilent_12012,0.0703302,0.0012924911
twist_25251,0.062411305,0.001328347
twist_48320,0.06226608,0.00081816054
agilent_149908,0.060307354,0.0005647161
agilent_226736,0.060077224,0.0011202883
agilent_12023,0.054321416,0.0005531941
agilent_6668,0.049249075,0.0012004465
twist_26768,0.04729802,0.00052762835
twist_55260,0.044597562,0.00071977376
twist_32176,0.04233135,0.0005057931
twist_41361,0.041741088,0.00092711096
agilent_44948,0.04051559,0.0003273446
agilent_1683,0.038788922,0.0005238667
twist_56007,0.03878127,0.0013064867
twist_56481,0.03763233,0.0006645918
agilent_104204,0.035610568,0.00063101796
twist_46140,0.034188457,0.0004666079
twist_58788,0.03302315,0.0007350076
twist_59401,0.03080666,0.00058762706
twist_54766,0.03050081,0.0004638362
agilent_220721,0.030364953,0.00045285892
corona2_13079,0.023386683,0.00031603634
twist_28811,0.02193264,0.0010425424
corona2_10066,0.02116717,0.00065743504
agilent_6664,0.020541739,0.00049869565
agilent_6339,0.019020049,0.00040977873
twist_58797,0.016260285,0.0005867063
agilent_171284,0.015565423,0.00033133372
agilent_236613,0.014407837,0.00043753893
twist_49296,0.014115091,0.0004088027
agilent_11949,0.013920907,0.0003424291
twist_54095,0.01386749,0.00035073655
twist_50559,0.0132654365,0.0006229652
twist_11627,0.012882992,0.0002764575
agilent_3616,0.012879232,0.0002482433
agilent_243291,0.012812805,0.0010663117
