,median_shap,std_error
twist_51296,0.43112856,0.3024789
agilent_104204,0.24503656,0.20365107
agilent_149908,0.21843816,0.2123037
smoking,0.12846392,0.10439637
agilent_240812,0.11901314,0.121711135
twist_14325,0.11740688,0.1525538
agilent_6936,0.11655687,0.088385254
twist_48320,0.105553806,0.11806943
agilent_6664,0.10496436,0.06498852
twist_38675,0.104131535,0.07858208
twist_55260,0.10028827,0.08951857
agilent_220657,0.09980426,0.087318055
agilent_178091,0.09692633,0.08762479
agilent_200824,0.09424265,0.058321793
twist_32032,0.09151829,0.117764264
agilent_240581,0.08701025,0.09640569
twist_4264,0.075442374,0.085726306
agilent_108515,0.07242973,0.07576017
agilent_45366,0.06703378,0.11147649
agilent_1414,0.06626353,0.052213337
corona2_8157,0.059548147,0.12305707
agilent_93129,0.049350053,0.06345229
agilent_168693,0.047904786,0.054217257
agilent_161274,0.046508417,0.08126503
agilent_237615,0.043808054,0.06441864
corona2_6051,0.042896274,0.10537622
twist_59590,0.04262919,0.07596033
agilent_88956,0.042228654,0.053460553
corona2_3004,0.03498254,0.044628043
agilent_13363,0.03446998,0.043670163
twist_57410,0.03389699,0.050750066
agilent_229243,0.033241577,0.039173596
agilent_26064,0.030969735,0.016882228
agilent_9025,0.030796036,0.06438956
agilent_223973,0.03058976,0.06484367
agilent_3157,0.03013048,0.036363684
corona2_11424,0.029462207,0.0269852
Age,0.028979843,0.07166629
twist_36518,0.028181354,0.031290125
twist_58778,0.028117506,0.03294642
agilent_177491,0.02764252,0.035464354
twist_30800,0.026229389,0.030112933
agilent_76271,0.025983691,0.051965438
agilent_4836,0.025676668,0.03815055
agilent_11949,0.02425378,0.035345547
agilent_321,0.024100823,0.030273788
twist_43798,0.022083182,0.03937238
agilent_171144,0.021057902,0.05471164
agilent_12021,0.02091362,0.027801963
agilent_52200,0.019037822,0.027033228
agilent_227745,0.018067706,0.02047303
agilent_73243,0.017003968,0.02151521
agilent_204518,0.016740056,0.026438517
appendectomy,0.016639039,0.035620566
agilent_44948,0.015549094,0.043827634
agilent_19497,0.015548578,0.026933106
agilent_320,0.015257132,0.03641415
agilent_241453,0.01523983,0.035269942
twist_55875,0.014069694,0.027546927
agilent_243291,0.013976883,0.029092291
agilent_8775,0.0139409965,0.031211099
agilent_60297,0.013565952,0.02116956
agilent_3468,0.013545005,0.0241939
agilent_1256,0.013482317,0.042051893
agilent_8688,0.013458004,0.029949022
twist_47356,0.013275316,0.029399458
twist_48321,0.013274097,0.020317016
agilent_9788,0.013189046,0.026296284
corona2_12941,0.0123849865,0.037203666
Sex,0.011530244,0.020843713
agilent_16209,0.011337551,0.023731869
twist_32176,0.010804374,0.024417732
twist_71134,0.01060533,0.032887533
agilent_233880,0.01047659,0.031470645
agilent_78103,0.010370606,0.025755167
agilent_171284,0.010288448,0.04426676
agilent_222669,0.009535408,0.024430532
twist_58290,0.009385396,0.014106224
agilent_52039,0.00901058,0.010795095
twist_19468,0.008643173,0.019487452
agilent_242591,0.0077225547,0.02019459
twist_33184,0.0076038027,0.018018339
agilent_128338,0.0075483825,0.06638443
twist_39975,0.007337714,0.014697292
twist_58798,0.006825903,0.027186206
agilent_139744,0.0068056323,0.027421681
agilent_156689,0.006606132,0.042381562
agilent_49012,0.0064594285,0.016633192
agilent_5189,0.00632206,0.025187474
agilent_6668,0.0062569026,0.049890205
twist_54947,0.0059478167,0.023875933
twist_27117,0.005883069,0.009889592
twist_94021,0.0058761807,0.010878421
twist_59198,0.0056908866,0.015005445
agilent_72861,0.0052218046,0.0188793
twist_27552,0.0050878595,0.020568341
agilent_223185,0.0049752546,0.021950942
agilent_179377,0.0048777247,0.012166532
agilent_43806,0.004866167,0.031596925
twist_56481,0.0045513464,0.01678665
